epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8036,1.79004,2.46139,1.85108,0.00154,0.11705,0.0009,0.0003,4.05704,inf,10.9481,0.000548633,0.000548633,0.000548633
2,132.965,2.02296,2.44628,2.03198,0.00565,0.00455,0.00252,0.00083,nan,nan,nan,0.00109337,0.00109337,0.00109337
3,193.397,2.00465,2.3335,2.00173,0.00726,0.0197,0.00157,0.00047,nan,nan,nan,0.0016271,0.0016271,0.0016271
4,253.958,1.94071,2.29879,1.95247,0.21567,0.06174,0.04345,0.01229,2.59516,8.13693,3.05563,0.00161749,0.00161749,0.00161749
5,315.268,1.85479,2.24301,1.90311,0.2497,0.27992,0.23692,0.09223,2.1536,4.91381,2.28345,0.00160099,0.00160099,0.00160099
6,376.607,1.76309,1.99841,1.77233,0.33977,0.18258,0.21818,0.07709,2.18047,5.07877,2.19454,0.00158448,0.00158448,0.00158448
7,437.582,1.68786,1.86491,1.73952,0.33457,0.3965,0.26954,0.09025,2.25533,2.90604,2.23578,0.00156798,0.00156798,0.00156798
8,503.406,1.63756,1.73662,1.68931,0.40809,0.41742,0.33327,0.16098,1.88906,2.11847,1.87351,0.00155148,0.00155148,0.00155148
9,564.618,1.61901,1.72188,1.6656,0.65688,0.48598,0.57275,0.25792,1.81005,1.78401,1.81282,0.00153497,0.00153497,0.00153497
10,632.141,1.60847,1.65005,1.66304,0.36055,0.41856,0.32877,0.14431,2.08504,2.5192,2.12515,0.00151847,0.00151847,0.00151847
11,693.486,1.61596,1.64418,1.68424,0.47637,0.37273,0.36696,0.15607,2.00599,2.02412,2.0122,0.00150197,0.00150197,0.00150197
12,754.811,1.57302,1.5898,1.63993,0.5137,0.41326,0.42023,0.17528,1.97461,2.04415,1.94162,0.00148546,0.00148546,0.00148546
13,816.082,1.51926,1.50179,1.58892,0.65667,0.55303,0.57178,0.25978,1.81856,2.03749,1.82598,0.00146896,0.00146896,0.00146896
14,882.043,1.48379,1.46019,1.58115,0.45894,0.60264,0.47784,0.2092,1.77264,1.97829,1.81351,0.00145246,0.00145246,0.00145246
15,943.238,1.45393,1.38747,1.5604,0.56482,0.47841,0.44919,0.20592,1.93672,2.02439,1.90272,0.00143595,0.00143595,0.00143595
16,1005.01,1.44671,1.40204,1.54507,0.67214,0.56288,0.59377,0.30097,1.69574,1.61554,1.72493,0.00141945,0.00141945,0.00141945
17,1071.25,1.42861,1.39762,1.5601,0.55081,0.65592,0.59376,0.29442,1.69444,1.6136,1.6971,0.00140295,0.00140295,0.00140295
18,1132.65,1.43753,1.33445,1.54133,0.66343,0.4536,0.46793,0.21776,1.98355,2.14323,2.0191,0.00138644,0.00138644,0.00138644
19,1193.98,1.40449,1.33053,1.51734,0.7556,0.48112,0.5997,0.27358,1.77934,1.66073,1.77,0.00136994,0.00136994,0.00136994
20,1256.3,1.38518,1.28764,1.50388,0.64712,0.62072,0.6354,0.33099,1.6632,1.42844,1.6637,0.00135344,0.00135344,0.00135344
21,1322.46,1.35757,1.23763,1.49212,0.70984,0.62765,0.66255,0.30909,1.72827,1.43759,1.7544,0.00133693,0.00133693,0.00133693
22,1383.84,1.35487,1.22445,1.48462,0.69038,0.60644,0.6483,0.32911,1.68427,1.40846,1.73248,0.00132043,0.00132043,0.00132043
23,1445.56,1.35453,1.21893,1.45977,0.71557,0.61446,0.66083,0.32998,1.70252,1.53998,1.76611,0.00130393,0.00130393,0.00130393
24,1507.39,1.32917,1.20386,1.47055,0.67714,0.67433,0.69507,0.38344,1.62525,1.2875,1.69166,0.00128742,0.00128742,0.00128742
25,1574.01,1.31971,1.18649,1.45089,0.70631,0.65379,0.66226,0.33148,1.69375,1.42544,1.74946,0.00127092,0.00127092,0.00127092
26,1635.72,1.3211,1.22913,1.45929,0.77331,0.55985,0.6843,0.34373,1.62838,1.43249,1.66452,0.00125442,0.00125442,0.00125442
27,1697.18,1.30887,1.16571,1.45796,0.63998,0.54205,0.57238,0.27743,1.72234,1.62978,1.77796,0.00123791,0.00123791,0.00123791
28,1758.39,1.31739,1.15826,1.45228,0.71482,0.66347,0.71728,0.37679,1.65082,1.35468,1.67267,0.00122141,0.00122141,0.00122141
29,1819.69,1.26271,1.10799,1.41781,0.84393,0.61222,0.74488,0.39996,1.56206,1.34627,1.63306,0.00120491,0.00120491,0.00120491
30,1882.43,1.26275,1.083,1.40987,0.7951,0.65597,0.73925,0.38373,1.57736,1.274,1.63919,0.0011884,0.0011884,0.0011884
31,1943.57,1.26503,1.14593,1.41628,0.76232,0.62012,0.6856,0.36122,1.64179,1.3326,1.70599,0.0011719,0.0011719,0.0011719
32,2005.07,1.20871,1.05132,1.38679,0.67719,0.69356,0.68634,0.37399,1.57568,1.38228,1.62007,0.0011554,0.0011554,0.0011554
33,2066.01,1.24758,1.06855,1.39455,0.66694,0.62811,0.63598,0.32511,1.6481,1.36911,1.70201,0.00113889,0.00113889,0.00113889
34,2127.52,1.21285,1.04111,1.3755,0.6552,0.64053,0.57647,0.28948,1.70391,1.53559,1.69057,0.00112239,0.00112239,0.00112239
35,2189.11,1.20861,1.04135,1.38803,0.74911,0.72378,0.72563,0.40133,1.50539,1.32311,1.59795,0.00110589,0.00110589,0.00110589
36,2250.29,1.19019,1.01081,1.36051,0.70677,0.76061,0.7274,0.40591,1.49372,1.21686,1.57787,0.00108938,0.00108938,0.00108938
37,2315.86,1.17857,0.99974,1.37506,0.69749,0.62919,0.69256,0.39301,1.56005,1.37847,1.64968,0.00107288,0.00107288,0.00107288
38,2377.21,1.17852,0.99572,1.35436,0.83504,0.66818,0.73989,0.40095,1.51188,1.16409,1.60205,0.00105638,0.00105638,0.00105638
39,2438.16,1.16677,0.96794,1.3457,0.76608,0.72311,0.74754,0.41312,1.48603,1.18641,1.60535,0.00103987,0.00103987,0.00103987
40,2500.45,1.18035,0.98764,1.37179,0.74817,0.66326,0.72541,0.37449,1.60785,1.27325,1.66727,0.00102337,0.00102337,0.00102337
41,2562.06,1.16387,0.9774,1.3444,0.83417,0.69153,0.74617,0.40618,1.54899,1.1985,1.60367,0.00100687,0.00100687,0.00100687
42,2623.22,1.16012,0.96822,1.34952,0.74895,0.70548,0.71022,0.39276,1.59653,1.28563,1.65195,0.000990365,0.000990365,0.000990365
43,2684.46,1.14119,0.95986,1.34297,0.82193,0.72538,0.78735,0.40605,1.56423,1.12044,1.65084,0.000973861,0.000973861,0.000973861
44,2746.18,1.14592,0.944,1.32994,0.84488,0.70883,0.78383,0.43463,1.48979,1.10845,1.58453,0.000957358,0.000957358,0.000957358
45,2814.05,1.12496,0.91188,1.32543,0.85329,0.70606,0.79219,0.44297,1.51488,1.0734,1.60362,0.000940855,0.000940855,0.000940855
46,2881.85,1.13068,0.92779,1.32747,0.80983,0.71914,0.78805,0.45149,1.43959,1.1617,1.54619,0.000924352,0.000924352,0.000924352
47,2946.49,1.09763,0.89119,1.31413,0.78909,0.71903,0.75709,0.42261,1.48373,1.16327,1.57914,0.000907848,0.000907848,0.000907848
48,3008.89,1.10353,0.86812,1.28786,0.81342,0.69392,0.73795,0.41052,1.53668,1.09249,1.58848,0.000891345,0.000891345,0.000891345
49,3070.45,1.0902,0.89739,1.30029,0.81206,0.74508,0.79791,0.43665,1.50702,1.08769,1.58195,0.000874842,0.000874842,0.000874842
50,3133.24,1.09644,0.86949,1.2959,0.81029,0.71894,0.75951,0.43826,1.53834,1.16189,1.58789,0.000858338,0.000858338,0.000858338
51,3194.05,1.06171,0.83769,1.28472,0.86053,0.70596,0.80112,0.43603,1.50641,1.11663,1.55183,0.000841835,0.000841835,0.000841835
52,3256.57,1.04899,0.87755,1.28939,0.8295,0.73689,0.77516,0.42876,1.54598,1.11417,1.59652,0.000825332,0.000825332,0.000825332
